refcat,refcat_parcela,municipio,sigla_via,via,planta,puerta,escalera,clase_bien,uso,clave_uso,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,base_liquidable_eur,tipo_impositivo,cuota_ibi_eur,exento,bonificado,tasa_basura_eur,tasa_basura_registros,tiene_padron_tasas
2568527UK5326N0001OR,2568527UK5326N,SAN ROMAN DE LOS MONTES,AV,SERRANILLOS 0007,OD,OS,T,UR,Residencial,V,85676.83,41566.72,44110.11,85676.83,0.42,359.84,N,,50.00,1,1
4331401UK5343S0001EG,4331401UK5343S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S4 0096,OD,OS,T,UR,Residencial,V,63459.25,13272.81,50186.44,63459.25,0.42,266.53,N,,50.00,1,1
5218311UK5351N0001WM,5218311UK5351N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SH 0005,OD,OS,T,UR,Residencial,V,69227.49,19736.28,49491.21,69227.49,0.42,290.76,N,,50.00,1,1
3222414UK5332S0001SJ,3222414UK5332S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S2 0195,OD,OS,T,UR,Residencial,V,66345.72,13287.57,53058.15,66345.72,0.42,278.65,N,,50.00,1,1
4652409UK5345S0001AE,4652409UK5345S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 8R 0462,OD,OS,T,UR,Residencial,V,324842.30,34479.97,290362.33,324842.30,0.42,1364.34,N,,50.00,1,1
5126905UK5352N0001OJ,5126905UK5352N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SI 0033,OD,OS,T,UR,Residencial,V,69705.25,14247.21,55458.04,69705.25,0.42,292.76,N,,50.00,1,1
4924503UK5342S0001EZ,4924503UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SH 0037,OD,OS,T,UR,Residencial,V,51381.23,15863.02,35518.21,51381.23,0.42,215.80,N,,,0,0
4626708UK5342N0001ZD,4626708UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S1 0095,OD,OS,T,UR,Residencial,V,58109.80,9331.77,48778.03,58109.80,0.42,244.06,N,,,0,0
4820926UK5342S0001XZ,4820926UK5342S,SAN ROMAN DE LOS MONTES,CL,MAR CRISTAL 0024,OD,OS,T,UR,Residencial,V,23408.09,4636.64,18771.45,23408.09,0.42,98.31,N,,50.00,1,1
4127207UK5342N0001FD,4127207UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S3 0143,OD,OS,T,UR,Residencial,V,53744.57,13277.74,40466.83,53744.57,0.42,225.73,N,,50.00,1,1
4323912UK5342S0001QZ,4323912UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SA 0030,OD,OS,T,UR,Residencial,V,75754.60,19909.58,55845.02,75754.60,0.42,318.17,N,,50.00,1,1
4421124UK5342S0001OZ,4421124UK5342S,SAN ROMAN DE LOS MONTES,AV,PLAYA 0063,OD,OS,T,UR,Residencial,V,40343.23,3793.62,36549.61,40343.23,0.42,169.44,N,,50.00,1,1
5421522UK5352S0001BW,5421522UK5352S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SJ 0024,OD,OS,T,UR,Residencial,V,59498.45,16375.87,43122.58,59498.45,0.42,249.89,N,,,0,0
4918817UK5341N0001UL,4918817UK5341N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SG 0009,OD,OS,T,UR,Residencial,V,63902.20,18687.19,45215.01,63902.20,0.42,268.39,N,,50.00,1,1
4820942UK5342S0001BZ,4820942UK5342S,SAN ROMAN DE LOS MONTES,CL,MAR CRISTAL 0014,OD,OS,T,UR,Residencial,V,16496.07,3617.99,12878.08,16496.07,0.42,69.28,N,,50.00,1,1
4322513UK5342S0001SZ,4322513UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SA 0013,OD,OS,T,UR,Residencial,V,72723.92,21693.99,51029.93,72723.92,0.42,305.44,N,,50.00,1,1
3317524UK5331N0001GG,3317524UK5331N,SAN ROMAN DE LOS MONTES,CL,CABO DE SAN ROQUE 0157,OD,OS,T,UR,Residencial,V,57776.27,14797.29,42978.98,57776.27,0.42,242.66,N,,50.00,1,1
4624724UK5342S0001OZ,4624724UK5342S,SAN ROMAN DE LOS MONTES,CL,MAR ALBORAN 0135,OD,OS,T,UR,Residencial,V,24670.95,6954.99,17715.96,24670.95,0.42,103.62,N,,50.00,1,1
2469905UK5326N0001OR,2469905UK5326N,SAN ROMAN DE LOS MONTES,AV,SERRANILLOS 0006,OD,OS,T,UR,Residencial,V,43383.17,9726.05,33657.12,43383.17,0.42,182.21,N,,,0,0
3521701UK5332S0001BJ,3521701UK5332S,SAN ROMAN DE LOS MONTES,CL,CABO DE SAN ROQUE 0147,OD,OS,T,UR,Residencial,V,55461.04,14531.74,40929.30,55461.04,0.42,232.94,N,,50.00,1,1
4127205UK5342N0001LD,4127205UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S3 0145,OD,OS,T,UR,Residencial,V,149205.71,19149.44,130056.27,149205.71,0.42,626.66,N,,50.00,1,1
4722426UK5342S0001BZ,4722426UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SC 0059,OD,OS,T,UR,Residencial,V,68579.70,18926.04,49653.66,68579.70,0.42,288.03,N,,50.00,1,1
4924501UK5342S0001IZ,4924501UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SH 0039,OD,OS,T,UR,Residencial,V,42291.35,15034.05,27257.30,42291.35,0.42,177.62,N,,50.00,1,1
3543817UK5334S0001FT,3543817UK5334S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 6R 0007,OD,OS,T,UR,Residencial,V,28172.30,16639.31,11532.99,28172.30,0.42,118.32,N,,,0,0
3247420UK5334N0001LB,3247420UK5334N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 6R 0018,OD,OS,T,UR,Residencial,V,49010.39,15582.00,33428.39,49010.39,0.42,205.84,N,,50.00,1,1
2370405UK5327S0002AU,2370405UK5327S,SAN ROMAN DE LOS MONTES,CL,REINA SOFIA 0016,01,01,,UR,Residencial,V,18104.61,3688.24,14416.37,18104.61,0.42,76.04,N,,50.00,1,1
4624718UK5342S0002YX,4624718UK5342S,SAN ROMAN DE LOS MONTES,CL,ISLA MALLORCA 0015,02,01,,UR,Residencial,V,24898.23,2634.45,22263.78,24898.23,0.42,104.57,N,,50.00,1,1
2471510UK5327S0001YY,2471510UK5327S,SAN ROMAN DE LOS MONTES,CL,OLIVILLA 0013,OD,OS,T,UR,Residencial,V,61947.26,7462.56,54484.70,61947.26,0.42,260.18,N,,,0,0
4357101UK5345N0001XK,4357101UK5345N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 8R 0350,OD,OS,T,UR,Residencial,V,64990.28,12220.43,52769.85,64990.28,0.42,272.96,N,,,0,0
2270118UK5327S0001RY,2270118UK5327S,SAN ROMAN DE LOS MONTES,CL,CASTILLO 0015,OD,OS,T,UR,Residencial,V,53395.62,6053.41,47342.21,53395.62,0.42,224.26,N,,50.00,1,1
2270119UK5327S0001DY,2270119UK5327S,SAN ROMAN DE LOS MONTES,CL,CASTILLO 0013,OD,OS,T,UR,Residencial,V,53395.62,6053.41,47342.21,53395.62,0.42,224.26,N,,50.00,1,1
2270120UK5327S0001KY,2270120UK5327S,SAN ROMAN DE LOS MONTES,CL,GRANADILLO 0007,00,01,1,UR,Residencial,V,70520.46,6989.33,63531.13,70520.46,0.42,296.19,N,,50.00,1,1
2270128UK5327S0001ZY,2270128UK5327S,SAN ROMAN DE LOS MONTES,CL,EL SILO 0009,00,01,1,UR,Residencial,V,70007.30,6590.04,63417.26,70007.30,0.42,294.03,N,,50.00,1,1
2270129UK5327S0001UY,2270129UK5327S,SAN ROMAN DE LOS MONTES,CL,EL SILO 0007,OD,OS,T,UR,Residencial,V,72224.74,6557.85,65666.89,72224.74,0.42,303.34,N,,50.00,1,1
2270130UK5327S0001SY,2270130UK5327S,SAN ROMAN DE LOS MONTES,CL,EL SILO 0005,OD,OS,T,UR,Residencial,V,72603.03,6751.07,65851.96,72603.03,0.42,304.93,N,,50.00,1,1
